Year,allage,age15plus
1980,7.4,9.4
1981,7.2,9.1
1982,7.1,8.8
1983,7.3,9.1
1984,7.4,9.2
1985,7.5,9.3
1986,7.5,9.3
1987,7.7,9.5
1988,8,9.8
1989,8,9.8
1990,7.9,9.8
1991,7.6,9.4
1992,7.5,9.3
1993,7.5,9.3
1994,7.7,9.2
1995,7.5,9.3
1996,7.9,9.8
1997,8.1,10
1998,7.9,9.8
1999,8.3,10.3
2000,8.4,10.4
2001,8.7,10.8
2002,9.1,11.1
2003,9.2,11.3
2004,9.5,11.6
2005,9.4,11.4
2006,9,11
2007,9.2,11.1
2008,8.9,10.8
2009,8.3,10.1
2010,8.4,10.1
2011,8.2,9.9
2012,7.9,9.6
2013,7.8,9.4
2014,7.7,9.4
2015,7.8,9.5
2016,7.8,9.5
2017,8,9.7
2018,8.1,9.8
