Country,GDP,gov_r
Albania,6373.30,27.04
Algeria,3659.53,29.91
Andorra,41873.06,36.85
Angola,2352.13,23.16
Antigua and Barbuda,14809.48,20.89
Argentina,10616.95,33.51
Armenia,4701.48,24.11
Aruba,28682.80,19.74
Australia,63464.11,35.86
Austria,53332.27,50.05
Azerbaijan,5397.93,36.50
The Bahamas,28792.07,19.39
Bahrain,26135.78,21.08
Bangladesh,2497.74,9.36
Barbados,16817.28,28.92
Belarus,7295.02,35.38
Belgium,51849.34,49.39
Belize,5638.40,23.07
Benin,1417.42,14.15
Bhutan,3245.41,33.16
Bolivia,3449.38,25.07
Bosnia and Herzegovina,6712.17,40.92
Botswana,7337.47,31.36
Brazil,7563.56,31.53
Brunei Darussalam,32573.33,21.12
Bulgaria,11745.57,37.47
Burkina Faso,887.28,21.01
Burundi,273.96,23.65
Cabo Verde,3748.98,22.63
Cambodia,1661.75,22.20
Cameroon,1667.32,14.15
Canada,52015.07,40.96
Central African Republic,525.15,13.67
Chad,697.37,16.62
Chile,16065.04,25.98
China,12561.69,26.61
Colombia,6158.91,27.67
Comoros,1393.93,17.05
Democratic Republic of the Congo,603.23,13.82
Republic of Congo,2634.22,23.90
Costa Rica,12435.58,15.82
Côte d'Ivoire,2533.74,15.89
Croatia,16785.33,46.36
Cyprus,30957.17,42.44
Czech Republic,26849.19,40.60
Denmark,68202.07,53.42
Djibouti,3364.91,20.08
Dominica,7280.86,59.29
Dominican Republic,8986.18,15.56
Ecuador,5978.92,34.02
Egypt,4144.42,19.01
El Salvador,4408.47,26.43
Equatorial Guinea,8447.96,15.30
Eritrea,611.17,33.46
Estonia,27962.28,38.99
Eswatini,4164.80,25.20
Ethiopia,995.67,11.03
Fiji,4748.91,20.62
Finland,53774.20,52.67
France,45187.77,52.62
Gabon,9482.51,14.73
The Gambia,816.38,16.82
Georgia,5014.16,25.42
Germany,51237.64,47.53
Ghana,2521.39,14.24
Greece,20263.29,48.92
Grenada,9856.43,31.78
Guatemala,4687.77,12.36
Guinea,1127.82,13.66
Guinea-Bissau,917.86,19.34
Guyana,9777.57,18.59
Haiti,1765.24,8.31
Honduras,2816.19,25.29
Hong Kong SAR,49865.35,23.85
Hungary,18732.38,41.15
Iceland,69422.38,41.29
India,2279.51,20.16
Indonesia,4361.16,13.59
Islamic Republic of Iran,18739.31,8.08
Iraq,5021.07,35.21
Ireland,100129.45,23.17
Israel,52151.93,36.58
Italy,35472.80,48.27
Jamaica,5614.81,30.26
Japan,39301.07,35.86
Jordan,4412.03,25.30
Kazakhstan,10306.20,17.10
Kenya,2219.24,16.82
Kiribati,1705.81,111.10
Korea,35003.82,25.83
Kosovo,5126.48,28.82
Kuwait,28665.17,52.05
Kyrgyz Republic,1282.98,33.96
Lao P.D.R.,2513.24,13.71
Latvia,20546.12,38.26
Lebanon,n/a,n/a
Lesotho,1181.10,47.96
Liberia,677.36,27.29
Libya,5813.32,59.98
Lithuania,23385.93,36.79
Luxembourg,136701.40,43.19
Macao SAR,43771.84,29.72
Madagascar,506.91,11.24
Malawi,558.87,15.64
Malaysia,11407.68,18.30
Maldives,13539.30,26.63
Mali,918.13,22.19
Malta,33667.37,37.14
Marshall Islands,4637.30,67.86
Mauritania,2332.90,21.97
Mauritius,8827.24,23.78
Mexico,10061.53,23.27
Micronesia,3880.40,73.82
Moldova,5284.91,31.99
Mongolia,4482.85,32.73
Montenegro,9433.03,43.12
Morocco,3934.31,24.18
Mozambique,491.84,27.62
Myanmar,1216.81,14.13
Namibia,4826.02,30.68
Nauru,10139.07,179.24
Nepal,1208.77,23.68
Netherlands,57996.91,44.03
New Zealand,48317.42,37.63
Nicaragua,2141.01,28.94
Niger,595.24,18.31
Nigeria,2088.64,7.25
North Macedonia,6713.67,30.21
Norway,89041.59,57.30
Oman,18966.25,33.89
Pakistan,1564.43,12.43
Palau,12331.06,51.83
Panama,14664.31,18.17
Papua New Guinea,3049.94,14.65
Paraguay,5279.39,19.16
Peru,6678.89,21.00
Philippines,3576.10,20.36
Poland,17945.75,42.33
Portugal,24296.07,45.32
Puerto Rico,34751.94,20.57
Qatar,68621.64,33.77
Romania,14794.86,30.65
Russia,12218.70,36.73
Rwanda,854.11,24.56
Samoa,4224.84,36.52
San Marino,50196.20,20.65
São Tomé and Príncipe,2322.08,27.70
Saudi Arabia,23507.28,30.89
Senegal,1606.60,19.44
Serbia,9178.15,43.26
Seychelles,14861.49,34.00
Sierra Leone,509.48,20.94
Singapore,72794.91,18.42
Slovak Republic,21053.44,40.68
Slovenia,29298.41,43.75
Solomon Islands,2332.98,32.53
Somalia,502.21,4.94
South Africa,6965.19,26.94
South Sudan,364.39,43.05
Spain,30089.52,43.73
Sri Lanka,4016.02,8.28
St. Kitts and Nevis,16467.44,42.28
St. Lucia,9287.91,23.75
St. Vincent and the Grenadines,7948.51,30.24
Sudan,772.34,9.36
Suriname,4680.56,27.15
Sweden,60815.54,49.60
Switzerland,92248.64,34.29
Syria,n/a,n/a
Taiwan Province of China,33143.01,15.64
Tajikistan,905.67,27.56
Tanzania,1177.12,14.42
Thailand,7232.26,20.22
Timor-Leste,1754.41,38.54
Togo,993.01,16.97
Tonga,4701.21,48.33
Trinidad and Tobago,17055.67,22.92
Tunisia,3897.45,25.59
Türkiye,9654.09,27.34
Turkmenistan,10111.10,11.09
Tuvalu,5833.61,100.81
Uganda,1011.75,14.07
Ukraine,4862.12,36.94
United Arab Emirates,41205.21,31.04
United Kingdom,47328.78,36.89
United States,69227.11,31.46
Uruguay,16735.29,28.22
Uzbekistan,2002.44,25.96
Vanuatu,2970.16,46.48
Venezuela,2157.32,6.01
Vietnam,3717.80,18.62
West Bank and Gaza,3450.57,25.30
Yemen,644.15,7.06
Zambia,1095.47,23.19
Zimbabwe,2121.57,16.82
