Area,Volume,Mortality
Barking and Dagenham,0.77,7.95
Barnet,0.68,6.74
Barnsley,2.49,14.28
Bath and North East Somerset,1.15,8.84
Bedford,1.51,11.28
Bexley,0.90,9.03
Birmingham,1.41,15.15
Blackburn with Darwen,1.82,18.69
Blackpool,2.73,31.85
Bolton,2.19,18.95
Bracknell Forest,0.96,6.32
Bradford,2.62,13.76
Brent,0.88,10.21
Brighton and Hove,1.89,16.63
Bristol,1.61,14.84
Bromley,0.85,8.00
Buckinghamshire UA,0.92,8.45
Bury,2.03,15.24
Calderdale,1.38,15.45
Cambridgeshire,1.23,7.86
Camden,1.44,11.64
Central Bedfordshire,1.04,8.46
Cheshire East,1.76,11.87
Cheshire West and Chester,1.83,12.84
Cornwall,2.02,11.16
County Durham,2.12,19.35
Coventry,1.36,15.60
Croydon,1.17,7.37
Cumbria,1.81,12.80
Darlington,2.60,16.93
Derby,1.94,16.21
Derbyshire,1.56,12.92
Devon,1.73,9.17
Doncaster,2.36,14.91
Dudley,1.45,17.39
Ealing,1.18,11.01
East Riding of Yorkshire,2.01,7.28
East Sussex,1.62,10.68
Enfield,0.93,5.38
Essex,1.06,10.60
Gateshead,1.41,18.33
Gloucestershire,1.18,9.98
Greenwich,1.03,9.01
Hackney,1.02,11.49
Halton,1.52,19.69
Hammersmith and Fulham,1.51,8.15
Hampshire,1.33,8.33
Haringey,1.78,8.95
Harrow,1.08,6.31
Hartlepool,2.62,21.35
Havering,1.01,8.25
Herefordshire,1.75,9.64
Hertfordshire,1.09,9.55
Hillingdon,1.14,13.07
Hounslow,1.23,10.81
Isle of Wight,1.56,10.86
Islington,1.31,11.55
Kensington and Chelsea,1.42,8.34
Kent,1.33,10.49
Kingston upon Hull,1.76,15.14
Kingston upon Thames,1.40,10.63
Kirklees,1.69,15.72
Knowsley,1.53,16.56
Lambeth,0.85,14.47
Lancashire,1.98,16.09
Leeds,1.60,14.32
Leicester,1.72,14.82
Leicestershire,1.25,10.95
Lewisham,1.17,12.80
Lincolnshire,1.87,10.47
Liverpool,1.43,18.93
Luton,1.55,10.65
Manchester,2.06,19.17
Medway,1.32,12.03
Merton,1.24,8.46
Middlesbrough,1.21,21.01
Milton Keynes,0.88,11.64
Newcastle upon Tyne,2.79,19.16
Newham,0.98,11.27
Norfolk,1.29,10.06
North East Lincolnshire,2.25,18.47
North Lincolnshire,1.64,13.57
North Northamptonshire,1.69,12.22
North Somerset,1.56,10.74
North Tyneside,2.54,16.78
North Yorkshire,1.55,8.83
Northumberland,2.44,14.57
Nottingham,1.34,18.41
Nottinghamshire,1.47,13.44
Oldham,2.34,19.31
Oxfordshire,1.39,9.45
Peterborough,1.85,13.47
Plymouth,1.42,11.14
Portsmouth,1.58,15.13
Reading,2.20,16.92
Redbridge,0.77,8.91
Redcar and Cleveland,1.37,14.84
Richmond upon Thames,1.37,10.89
Rochdale,2.04,17.32
Rotherham,1.65,13.83
Rutland,1.58,8.31
Salford,2.02,16.90
Sandwell,1.11,18.42
Sefton,1.93,15.48
Sheffield,1.50,13.43
Shropshire,1.46,10.74
Slough,1.31,14.77
Solihull,1.30,10.58
Somerset,1.65,10.45
South Gloucestershire,1.16,8.70
South Tyneside,2.46,23.01
Southampton,1.42,17.04
Southend-on-Sea,1.10,15.70
Southwark,0.85,9.90
St. Helens,2.13,20.77
Staffordshire,1.14,12.20
Stockport,1.74,17.87
Stockton-on-Tees,1.16,19.15
Stoke-on-Trent,1.95,19.22
Suffolk,1.21,8.75
Sunderland,1.35,22.43
Surrey,1.12,8.86
Sutton,1.06,9.25
Swindon,1.11,12.81
Tameside,2.41,19.68
Telford and Wrekin,1.56,15.37
Thurrock,1.09,9.99
Torbay,1.73,18.34
Tower Hamlets,1.02,12.58
Trafford,1.74,13.35
Wakefield,2.43,16.39
Walsall,1.55,17.55
Waltham Forest,1.03,8.70
Wandsworth,1.44,10.79
Warrington,1.73,14.27
Warwickshire,1.47,9.29
West Berkshire,1.53,11.47
West Northamptonshire,1.69,9.69
West Sussex,1.06,10.26
Westminster,1.28,7.11
Wigan,1.58,21.29
Wiltshire,1.63,9.25
Windsor and Maidenhead,1.61,11.63
Wirral,1.65,17.10
Wokingham,0.93,8.82
Wolverhampton,1.59,19.00
Worcestershire,1.28,12.89
York,2.05,7.30
